timestamp,agent.name,rule.description,rule.level,rule.id,rule.mitre.id,data.srcip,data.srcport,data.srcuser,full_log
"Aug 6, 2026 @ 12:00:30.322",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,62435,,Aug 06 10:00:25 SOC-LINUX-CLIENT sshd[26458]: Connection reset by invalid user usuario-inexistente 192.168.228.1 port 62435 [preauth]
"Aug 6, 2026 @ 12:00:28.321",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,,usuario-inexistente,Aug 06 10:00:23 SOC-LINUX-CLIENT sshd[26458]: Failed password for invalid user usuario-inexistente from 192.168.228.1 port 62435 ssh2
"Aug 6, 2026 @ 12:00:24.311",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,,usuario-inexistente,Aug 06 10:00:18 SOC-LINUX-CLIENT sshd[26458]: Failed password for invalid user usuario-inexistente from 192.168.228.1 port 62435 ssh2
"Aug 6, 2026 @ 12:00:18.306",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,,usuario-inexistente,Aug 06 10:00:13 SOC-LINUX-CLIENT sshd[26458]: Failed password for invalid user usuario-inexistente from 192.168.228.1 port 62435 ssh2
"Aug 6, 2026 @ 12:00:16.340",SOC-LINUX-CLIENT,PAM: User login failed.,5,5503,"[""T1110.001""]",192.168.228.1,,,Aug 06 10:00:11 SOC-LINUX-CLIENT sshd[26458]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.228.1
"Aug 6, 2026 @ 12:00:14.302",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,62435,usuario-inexistente,Aug 06 10:00:09 SOC-LINUX-CLIENT sshd[26458]: Invalid user usuario-inexistente from 192.168.228.1 port 62435
"Aug 6, 2026 @ 11:37:41.930",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,54145,,Aug 06 09:37:36 SOC-LINUX-CLIENT sshd[24802]: Connection reset by invalid user usuario-inexistente 192.168.228.1 port 54145 [preauth]
"Aug 6, 2026 @ 11:37:39.927",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,,usuario-inexistente,Aug 06 09:37:36 SOC-LINUX-CLIENT sshd[24802]: Failed password for invalid user usuario-inexistente from 192.168.228.1 port 54145 ssh2
"Aug 6, 2026 @ 11:37:37.923",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,,usuario-inexistente,Aug 06 09:37:33 SOC-LINUX-CLIENT sshd[24802]: Failed password for invalid user usuario-inexistente from 192.168.228.1 port 54145 ssh2
"Aug 6, 2026 @ 11:37:33.923",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,,usuario-inexistente,Aug 06 09:37:29 SOC-LINUX-CLIENT sshd[24802]: Failed password for invalid user usuario-inexistente from 192.168.228.1 port 54145 ssh2
"Aug 6, 2026 @ 11:37:33.922",SOC-LINUX-CLIENT,PAM: User login failed.,5,5503,"[""T1110.001""]",192.168.228.1,,,Aug 06 09:37:28 SOC-LINUX-CLIENT sshd[24802]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.228.1
"Aug 6, 2026 @ 11:37:31.872",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,54145,usuario-inexistente,Aug 06 09:37:27 SOC-LINUX-CLIENT sshd[24802]: Invalid user usuario-inexistente from 192.168.228.1 port 54145
"Aug 6, 2026 @ 11:37:29.872",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,54135,,Aug 06 09:37:25 SOC-LINUX-CLIENT sshd[24800]: Connection reset by invalid user usuario-inexistente 192.168.228.1 port 54135 [preauth]
"Aug 6, 2026 @ 11:37:29.871",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,,usuario-inexistente,Aug 06 09:37:25 SOC-LINUX-CLIENT sshd[24800]: Failed password for invalid user usuario-inexistente from 192.168.228.1 port 54135 ssh2
"Aug 6, 2026 @ 11:37:21.871",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,,usuario-inexistente,Aug 06 09:37:18 SOC-LINUX-CLIENT sshd[24800]: Failed password for invalid user usuario-inexistente from 192.168.228.1 port 54135 ssh2
"Aug 6, 2026 @ 11:37:21.864",SOC-LINUX-CLIENT,PAM: User login failed.,5,5503,"[""T1110.001""]",192.168.228.1,,,Aug 06 09:37:16 SOC-LINUX-CLIENT sshd[24800]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.228.1
"Aug 6, 2026 @ 11:37:19.862",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,54135,usuario-inexistente,Aug 06 09:37:16 SOC-LINUX-CLIENT sshd[24800]: Invalid user usuario-inexistente from 192.168.228.1 port 54135
"Aug 6, 2026 @ 11:37:15.855",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,54132,,Aug 06 09:37:10 SOC-LINUX-CLIENT sshd[24798]: Connection reset by invalid user usuario-inexistente 192.168.228.1 port 54132 [preauth]
"Aug 6, 2026 @ 11:37:15.854",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,,usuario-inexistente,Aug 06 09:37:10 SOC-LINUX-CLIENT sshd[24798]: Failed password for invalid user usuario-inexistente from 192.168.228.1 port 54132 ssh2
"Aug 6, 2026 @ 11:37:09.843",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,,usuario-inexistente,Aug 06 09:37:06 SOC-LINUX-CLIENT sshd[24798]: Failed password for invalid user usuario-inexistente from 192.168.228.1 port 54132 ssh2
"Aug 6, 2026 @ 11:37:05.833",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,,usuario-inexistente,Aug 06 09:37:02 SOC-LINUX-CLIENT sshd[24798]: Failed password for invalid user usuario-inexistente from 192.168.228.1 port 54132 ssh2
"Aug 6, 2026 @ 11:37:03.870",SOC-LINUX-CLIENT,PAM: User login failed.,5,5503,"[""T1110.001""]",192.168.228.1,,,Aug 06 09:36:59 SOC-LINUX-CLIENT sshd[24798]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.228.1
"Aug 6, 2026 @ 11:36:53.810",SOC-LINUX-CLIENT,sshd: Attempt to login using a non-existent user,5,5710,"[""T1110.001"",""T1021.004""]",192.168.228.1,54132,usuario-inexistente,Aug 06 09:36:49 SOC-LINUX-CLIENT sshd[24798]: Invalid user usuario-inexistente from 192.168.228.1 port 54132
